"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2008","2008","USD","US Dollar","9","Billions",,,224.183,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2009","2009","USD","US Dollar","9","Billions",,,205.528,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2010","2010","USD","US Dollar","9","Billions",,,206.24,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2011","2011","USD","US Dollar","9","Billions",,,227.454,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2012","2012","USD","US Dollar","9","Billions",,,220.042,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2013","2013","USD","US Dollar","9","Billions",,,234.87,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2014","2014","USD","US Dollar","9","Billions",,,239.28,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2015","2015","USD","US Dollar","9","Billions",,,203.924,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2016","2016","USD","US Dollar","9","Billions",,,205.882,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2017","2017","USD","US Dollar","9","Billions",,,219.722,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2018","2018","USD","US Dollar","9","Billions",,,237.941,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2019","2019","USD","US Dollar","9","Billions",,,227.033,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2020","2020","USD","US Dollar","9","Billions",,,221.165,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2021","2021","USD","US Dollar","9","Billions",,,252.019,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1965","1965","USD","US Dollar","9","Billions",,,14.21,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1966","1966","USD","US Dollar","9","Billions",,,16.409,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1967","1967","USD","US Dollar","9","Billions",,,18.324,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1968","1968","USD","US Dollar","9","Billions",,,20.745,,
